repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
ecommerce-spring-boot-eherozhao,syft,2.87,8.5,B,53
ecommerce-spring-boot-eherozhao,trivy,0.51,5.7,D,1
ecommerce-spring-boot-eherozhao,cdxgen,6.6,8.6,B,48
ecommerce-demo-diffblue,syft,4.13,8.5,B,94
ecommerce-demo-diffblue,trivy,0.08,5.7,D,1
ecommerce-demo-diffblue,cdxgen,12.4,8.6,B,58
spring-boot-file-upload-download,syft,2.38,8.4,B,31
spring-boot-file-upload-download,trivy,0.08,5.7,D,1
spring-boot-file-upload-download,cdxgen,5.78,8.6,B,28
java-spring-boot-secure-todo-app,syft,3.18,8.5,B,119
java-spring-boot-secure-todo-app,trivy,0.07,5.7,D,1
java-spring-boot-secure-todo-app,cdxgen,27.12,8.6,B,106
spring-boot-3-todo-application,syft,3.13,8.5,B,66
spring-boot-3-todo-application,trivy,0.07,5.7,D,1
spring-boot-3-todo-application,cdxgen,14.57,8.6,B,64
expense-tracker-application,syft,3.17,8.5,B,64
expense-tracker-application,trivy,0.07,5.7,D,1
expense-tracker-application,cdxgen,16.55,8.6,B,61
spring-boot-ecommerce-rest-api-manirdev,syft,2.8,8.5,B,63
spring-boot-ecommerce-rest-api-manirdev,trivy,0.07,5.7,D,1
spring-boot-ecommerce-rest-api-manirdev,cdxgen,19.66,8.6,B,58
spring-boot-3-rest-api-example-bezkoder,syft,2.1,8.4,B,33
spring-boot-3-rest-api-example-bezkoder,trivy,0.09,5.7,D,1
spring-boot-3-rest-api-example-bezkoder,cdxgen,8.42,8.6,B,30
spring-boot-todoapp-pelinhangisi,syft,3.17,8.5,B,95
spring-boot-todoapp-pelinhangisi,trivy,0.07,5.7,D,1
spring-boot-todoapp-pelinhangisi,cdxgen,21.34,8.6,B,92
todoapp-springboot-docker,syft,3.06,8.5,B,74
todoapp-springboot-docker,trivy,0.07,5.7,D,1
todoapp-springboot-docker,cdxgen,21.98,8.6,B,70
springboot-todolist-macktireh,syft,3.309,8.5,B,60
springboot-todolist-macktireh,trivy,0.09,5.7,D,1
springboot-todolist-macktireh,cdxgen,12.689,8.6,B,57
restful-ecommerce-api-springboot3-jbrun0r,syft,3.173,8.5,B,59
restful-ecommerce-api-springboot3-jbrun0r,trivy,0.103,5.7,D,1
restful-ecommerce-api-springboot3-jbrun0r,cdxgen,12.133,8.6,B,56
example-springboot-restapi-louwersj,syft,2.694,8.4,B,33
example-springboot-restapi-louwersj,trivy,0.114,5.7,D,1
example-springboot-restapi-louwersj,cdxgen,8.012,8.6,B,30
cloud-spring-boot-sample-sap,syft,3.358,8.5,B,52
cloud-spring-boot-sample-sap,trivy,0.119,5.7,D,1
cloud-spring-boot-sample-sap,cdxgen,9.752,8.6,B,48
restfulapi-conlean,syft,3.368,8.5,B,63
restfulapi-conlean,trivy,0.121,5.7,D,1
restfulapi-conlean,cdxgen,12.133,8.6,B,60
library-management-system-saikat021,syft,3.077,8.5,B,58
library-management-system-saikat021,trivy,0.085,5.7,D,1
library-management-system-saikat021,cdxgen,8.84,8.6,B,54
library-vusalaxndzde,syft,4.027,8.5,B,81
library-vusalaxndzde,trivy,0.089,5.7,D,1
library-vusalaxndzde,cdxgen,15.322,8.6,B,76
springboot-library-management-franciscogaleana,syft,4.272,8.5,B,63
springboot-library-management-franciscogaleana,trivy,0.17,5.7,D,1
springboot-library-management-franciscogaleana,cdxgen,15.324,8.6,B,60
librarymanagementsystem-knowledgefactory4u,syft,4.118,8.5,B,77
librarymanagementsystem-knowledgefactory4u,trivy,0.089,5.7,D,1
librarymanagementsystem-knowledgefactory4u,cdxgen,13.931,8.6,B,73
tasks-springboot-anantsingh1510,syft,4.261,8.5,B,67
tasks-springboot-anantsingh1510,trivy,0.124,5.7,D,1
tasks-springboot-anantsingh1510,cdxgen,11.548,8.6,B,64
foodfrenzy-secretdev804,syft,4.52,8.5,B,65
foodfrenzy-secretdev804,trivy,0.09,5.7,D,1
foodfrenzy-secretdev804,cdxgen,15.686,8.6,B,62
springboot-notes-app-emwork,syft,4.132,8.5,B,84
springboot-notes-app-emwork,trivy,0.106,5.7,D,1
springboot-notes-app-emwork,cdxgen,16.248,8.6,B,79
spring-boot-spring-loaded-java8-example-joakim666,syft,2.457,8.5,B,46
spring-boot-spring-loaded-java8-example-joakim666,trivy,0.081,5.7,D,1
spring-boot-spring-loaded-java8-example-joakim666,cdxgen,1.742,8.6,B,1
spring-boot-todo-jazzybruno,syft,5.138,8.5,B,96
spring-boot-todo-jazzybruno,trivy,0.095,5.7,D,1
spring-boot-todo-jazzybruno,cdxgen,16.887,8.6,B,91
notes-app-mohammadusman,syft,4.618,8.5,B,76
notes-app-mohammadusman,trivy,0.101,5.7,D,1
notes-app-mohammadusman,cdxgen,14.572,8.6,B,66
todo-springboot-harsh-codefreakkk,syft,4.191,8.5,B,70
todo-springboot-harsh-codefreakkk,trivy,0.1,5.7,D,1
todo-springboot-harsh-codefreakkk,cdxgen,12.294,8.6,B,66
hilla-todo-tarekoraby,syft,5.447,8.5,B,129
hilla-todo-tarekoraby,trivy,0.109,5.7,D,1
hilla-todo-tarekoraby,cdxgen,16.988,8.6,B,122
spring-boot-todo-crud-davidarchanjo,syft,4.458,8.5,B,60
spring-boot-todo-crud-davidarchanjo,trivy,0.102,5.7,D,1
spring-boot-todo-crud-davidarchanjo,cdxgen,12.971,8.6,B,54
todolist-valeriyemelyanov,syft,4.369,8.5,B,83
todolist-valeriyemelyanov,trivy,0.122,5.7,D,1
todolist-valeriyemelyanov,cdxgen,14.988,8.6,B,75
spring-boot-rest-api-odemur,syft,4.874,8.5,B,102
spring-boot-rest-api-odemur,trivy,0.107,5.7,D,1
spring-boot-rest-api-odemur,cdxgen,22.538,8.6,B,98
rest-api-using-spring-boot-maven-swapatgithub,syft,3.251,8.5,B,68
rest-api-using-spring-boot-maven-swapatgithub,trivy,0.096,5.7,D,1
rest-api-using-spring-boot-maven-swapatgithub,cdxgen,18.097,8.6,B,65
spring-boot-mysql-rest-api-callicoder,syft,4.044,8.5,B,60
spring-boot-mysql-rest-api-callicoder,trivy,0.134,5.7,D,1
spring-boot-mysql-rest-api-callicoder,cdxgen,24.606,8.6,B,56
java-spring-boot-boilerplate-mewebstudio,syft,6.077,8.5,B,129
java-spring-boot-boilerplate-mewebstudio,trivy,0.113,5.7,D,1
java-spring-boot-boilerplate-mewebstudio,cdxgen,32.458,8.6,B,115
expense-tracker-haricazorla,syft,4.624,8.5,B,82
expense-tracker-haricazorla,trivy,0.106,5.7,D,1
expense-tracker-haricazorla,cdxgen,22.967,8.6,B,78
spring-boot-crud-rest-ifaruquehossain,syft,3.174,8.5,B,42
spring-boot-crud-rest-ifaruquehossain,trivy,0.18,5.7,D,1
spring-boot-crud-rest-ifaruquehossain,cdxgen,10.018,8.6,B,39
spring-boot-jpa-xgeekshq,syft,4.05,8.5,B,60
spring-boot-jpa-xgeekshq,trivy,0.118,5.7,D,1
spring-boot-jpa-xgeekshq,cdxgen,15.821,8.6,B,56
java8-springboot-restapi-pallavchanana,syft,2.708,8.5,B,41
