image,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
banagevikas/nodejs-sample-app:latest,syft,92.88,4.4,F,23393
banagevikas/nodejs-sample-app:latest,trivy,22.77,8.5,B,946
banagevikas/nodejs-sample-app:latest,cdxgen,98.85,9.3,A,2019
signoz/sample-nodejs-app:latest,syft,32.97,5.6,D,1035
signoz/sample-nodejs-app:latest,trivy,4.49,8.5,B,481
signoz/sample-nodejs-app:latest,cdxgen,49.82,9.9,A,486
raviganeshm/simple-node-js-app:latest,syft,24.92,5.6,D,717
raviganeshm/simple-node-js-app:latest,trivy,3.98,8.5,B,326
raviganeshm/simple-node-js-app:latest,cdxgen,23.25,9.9,A,334
omar0unir/unir-images:app-nodejs-example,syft,86.24,4.4,F,23662
omar0unir/unir-images:app-nodejs-example,trivy,23.83,8.5,B,1057
omar0unir/unir-images:app-nodejs-example,cdxgen,97.81,9.4,A,2178
bencuk/java-demoapp:latest,syft,31.15,5.0,D,369
bencuk/java-demoapp:latest,trivy,6.88,8.5,B,92
bencuk/java-demoapp:latest,cdxgen,14.51,8.8,B,161
kimb88/hello-world-spring-boot:latest,syft,21.29,4.8,F,989
kimb88/hello-world-spring-boot:latest,trivy,12.11,8.5,B,154
kimb88/hello-world-spring-boot:latest,cdxgen,22.10,9.3,A,32
appuio/example-spring-boot:latest,syft,100.42,4.6,F,8350
appuio/example-spring-boot:latest,trivy,33.70,8.5,B,602
appuio/example-spring-boot:latest,cdxgen,363.41,9.2,A,1300
piomin/sample-spring-boot-app-k8s:latest,syft,61.88,4.5,F,3349
piomin/sample-spring-boot-app-k8s:latest,trivy,17.67,8.5,B,202
piomin/sample-spring-boot-app-k8s:latest,cdxgen,36.16,8.9,B,747
bencuk/python-demoapp:latest,syft,87.93,4.3,F,20784
bencuk/python-demoapp:latest,trivy,26.29,8.5,B,444
bencuk/python-demoapp:latest,cdxgen,93.86,9.1,A,1634
mnidevops/simple-python-flask-app:latest,syft,83.47,4.3,F,20550
mnidevops/simple-python-flask-app:latest,trivy,23.79,8.5,B,443
mnidevops/simple-python-flask-app:latest,cdxgen,60.12,9.1,A,1507
