image,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
python:3.11-slim,syft,23.62,4.4,F,2829
python:3.11-slim,trivy,4.15,8.5,B,108
python:3.11-slim,cdxgen,21.37,9,B,453
python:3.10-alpine,syft,14.89,4.5,F,791
python:3.10-alpine,trivy,1.88,8.5,B,59
python:3.10-alpine,cdxgen,13.25,9.3,A,103
node:22-alpine,syft,27.15,5.5,D,529
node:22-alpine,trivy,5.09,8.5,B,233
node:22-alpine,cdxgen,26.64,9.8,A,250
node:20-slim,syft,33.95,4.5,F,3486
node:20-slim,trivy,5.85,8.5,B,294
node:20-slim,cdxgen,28.35,9.3,A,661
golang:1.22-alpine,syft,30.54,4.8,F,315
golang:1.22-alpine,trivy,6.27,7.6,C,57
golang:1.22-alpine,cdxgen,40.15,9.6,A,69
nginx:1.27-alpine,syft,16.9,4.5,F,1048
nginx:1.27-alpine,trivy,0.24,8.5,B,70
nginx:1.27-alpine,cdxgen,10.79,9.2,A,189
httpd:2.4-alpine,syft,16.35,4.4,F,1830
httpd:2.4-alpine,trivy,1.9,8.5,B,44
httpd:2.4-alpine,cdxgen,14.02,9.2,A,125
ubuntu:24.04,syft,16.6,4.4,F,2357
ubuntu:24.04,trivy,0.24,8.5,B,94
ubuntu:24.04,cdxgen,15.98,9,B,489
debian:12-slim,syft,14.02,4.4,F,3076
debian:12-slim,trivy,0.26,8.5,B,90
debian:12-slim,cdxgen,13.99,9,B,454
redis:7-alpine,syft,14.28,4.4,F,453
redis:7-alpine,trivy,0.35,8.3,B,24
redis:7-alpine,cdxgen,10.17,9.4,A,43
mongo:7.0,syft,71.36,4.5,F,4357
mongo:7.0,trivy,24.3,8.5,B,390
mongo:7.0,cdxgen,46.65,9,A,587
mysql:8.0,syft,75.77,4.3,F,20716
mysql:8.0,trivy,15.08,8.5,B,148
mysql:8.0,cdxgen,48.86,9,A,541
mariadb:11.4,syft,39.34,4.4,F,5329
mariadb:11.4,trivy,0.34,8.5,B,156
mariadb:11.4,cdxgen,25.6,9,B,734
rabbitmq:3-management-alpine,syft,28.87,4.4,F,1919
rabbitmq:3-management-alpine,trivy,5.13,8.5,B,44
rabbitmq:3-management-alpine,cdxgen,16.29,9.1,A,167
eclipse-mosquitto:2.0,syft,9.63,4.4,F,599
eclipse-mosquitto:2.0,trivy,0.62,8.4,B,21
eclipse-mosquitto:2.0,cdxgen,7.68,9.3,A,46
nginxinc/nginx-unprivileged:stable-alpine,syft,13.71,4.5,F,1046
nginxinc/nginx-unprivileged:stable-alpine,trivy,1.69,8.5,B,70
nginxinc/nginx-unprivileged:stable-alpine,cdxgen,10,9.2,A,190
traefik:v3.1,syft,39.66,5.3,D,911
traefik:v3.1,trivy,3.61,8.5,B,337
traefik:v3.1,cdxgen,10.93,9.9,A,351
prom/prometheus:v2.54.0,syft,29.1,7.1,C,344
prom/prometheus:v2.54.0,trivy,6.43,8.5,B,341
prom/prometheus:v2.54.0,cdxgen,14.78,10,A,183
gitea/gitea:1.22.0,syft,20.72,5.3,D,981
gitea/gitea:1.22.0,trivy,4.76,8.5,B,342
gitea/gitea:1.22.0,cdxgen,11.4,9.5,A,527
wordpress:6.6.2-php8.2-apache,syft,69.46,4.4,F,10398
wordpress:6.6.2-php8.2-apache,trivy,14.95,8.5,B,254
wordpress:6.6.2-php8.2-apache,cdxgen,38.87,9.1,A,1107
jupyter/scipy-notebook:latest,syft,301.7,4.4,F,40434
jupyter/scipy-notebook:latest,trivy,142.75,8.5,B,975
jupyter/scipy-notebook:latest,cdxgen,262.63,7.3,C,2340
portainer/portainer-ce:2.20.3,syft,29.76,7.1,C,559
portainer/portainer-ce:2.20.3,trivy,5.92,8.5,B,557
portainer/portainer-ce:2.20.3,cdxgen,12.35,10,A,365
minio/minio:RELEASE.2024-08-17T01-24-54Z,syft,21.25,5.6,D,783
minio/minio:RELEASE.2024-08-17T01-24-54Z,trivy,3.91,8.5,B,365
minio/minio:RELEASE.2024-08-17T01-24-54Z,cdxgen,11.67,9.4,A,448
nginxdemos/hello:latest,syft,12.85,4.5,F,1044
nginxdemos/hello:latest,trivy,1.81,8.5,B,72
nginxdemos/hello:latest,cdxgen,9.04,9.2,A,194
tiangolo/uwsgi-nginx-flask:python3.11,syft,105.18,4.4,F,22814
tiangolo/uwsgi-nginx-flask:python3.11,trivy,26.81,8.5,B,525
tiangolo/uwsgi-nginx-flask:python3.11,cdxgen,69.07,9.1,A,1725
banagevikas/nodejs-sample-app:latest,syft,92.88,4.4,F,23393
banagevikas/nodejs-sample-app:latest,trivy,22.77,8.5,B,946
banagevikas/nodejs-sample-app:latest,cdxgen,98.85,9.3,A,2019
signoz/sample-nodejs-app:latest,syft,32.97,5.6,D,1035
signoz/sample-nodejs-app:latest,trivy,4.49,8.5,B,481
signoz/sample-nodejs-app:latest,cdxgen,49.82,9.9,A,486
raviganeshm/simple-node-js-app:latest,syft,24.92,5.6,D,717
raviganeshm/simple-node-js-app:latest,trivy,3.98,8.5,B,326
raviganeshm/simple-node-js-app:latest,cdxgen,23.25,9.9,A,334
omar0unir/unir-images:app-nodejs-example,syft,86.24,4.4,F,23662
omar0unir/unir-images:app-nodejs-example,trivy,23.83,8.5,B,1057
omar0unir/unir-images:app-nodejs-example,cdxgen,97.81,9.4,A,2178
bencuk/java-demoapp:latest,syft,31.15,5,D,369
bencuk/java-demoapp:latest,trivy,6.88,8.5,B,92
bencuk/java-demoapp:latest,cdxgen,14.51,8.8,B,161
kimb88/hello-world-spring-boot:latest,syft,21.29,4.8,F,989
kimb88/hello-world-spring-boot:latest,trivy,12.11,8.5,B,154
