repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
express,syft,3.35,8.3,B,102
express,trivy,0.30,8.5,B,66
express,cdxgen,3.83,8.6,B,376
nest,syft,2.40,8.5,B,134
nest,trivy,0.37,8.5,B,125
nest,cdxgen,15.31,8.6,B,2169
fastify,syft,1.90,7.6,C,58
fastify,trivy,0.13,5.7,D,1
fastify,cdxgen,1.99,8.6,B,15
koa,syft,1.86,8.3,B,46
koa,trivy,0.11,8.4,B,38
koa,cdxgen,2.00,8.6,B,374
socket.io,syft,2.90,8.6,B,3240
socket.io,trivy,0.49,8.6,B,2086
socket.io,cdxgen,7.12,8.6,B,1188
strapi,syft,4.79,8.6,B,4766
strapi,trivy,1.46,8.6,B,4654
strapi,cdxgen,37.34,8.6,B,4105
next.js,syft,7.97,8.6,B,9468
next.js,trivy,3.88,8.6,B,3975
next.js,cdxgen,56.80,,,
nuxt,syft,2.64,8.5,B,1754
nuxt,trivy,0.31,8.6,B,996
nuxt,cdxgen,8.54,8.6,B,1716
remix,syft,1.87,8.5,B,691
remix,trivy,0.26,8.6,B,305
remix,cdxgen,3.61,8.5,B,719
prisma,syft,5.06,8.5,B,7303
prisma,trivy,1.07,8.5,B,3301
prisma,cdxgen,19.98,8.6,B,2498
sequelize,syft,2.62,8.6,B,1680
sequelize,trivy,0.30,8.6,B,791
sequelize,cdxgen,7.91,8.6,B,1671
typeorm,syft,3.53,8.5,B,1315
typeorm,trivy,0.59,8.6,B,1282
typeorm,cdxgen,15.85,8.6,B,2039
pm2,syft,2.01,8.5,B,131
pm2,trivy,0.18,8.5,B,242
pm2,cdxgen,2.66,8.6,B,200
bulletproof-nodejs,syft,1.79,8.5,B,236
bulletproof-nodejs,trivy,0.11,8.6,B,268
bulletproof-nodejs,cdxgen,3.47,8.6,B,863
node-express-realworld,syft,1.51,8.5,B,106
node-express-realworld,trivy,0.11,8.5,B,105
node-express-realworld,cdxgen,2.95,8.6,B,734
nodejs-real-world-example-app,syft,2.43,8.5,B,195
nodejs-real-world-example-app,trivy,0.16,8.5,B,177
nodejs-real-world-example-app,cdxgen,2.40,8.6,B,219
bulletproof-nodejs-template,syft,1.56,8.5,B,72
bulletproof-nodejs-template,trivy,0.12,8.5,B,71
bulletproof-nodejs-template,cdxgen,2.71,8.6,B,706
realworld-nodejs-example-app,syft,2.29,8.6,B,2523
realworld-nodejs-example-app,trivy,0.23,8.6,B,2126
realworld-nodejs-example-app,cdxgen,5.03,8.6,B,1275
nodejs-ecommerce-api,syft,1.47,8.5,B,112
nodejs-ecommerce-api,trivy,0.09,8.5,B,122
nodejs-ecommerce-api,cdxgen,1.72,8.6,B,234
real-world-tourism-api,syft,1.90,8.6,B,315
real-world-tourism-api,trivy,0.14,8.6,B,395
real-world-tourism-api,cdxgen,3.33,8.6,B,419
