Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
image.appuio__example-spring-boot_latest.cdxgen,ok,5519.0,1145,142,572,404,27,0
image.appuio__example-spring-boot_latest.syft,ok,837.0,180,19,90,63,8,0
image.appuio__example-spring-boot_latest.trivy,ok,3748.0,760,112,364,262,22,0
image.arey__springboot-petclinic_latest.cdxgen,ok,154.0,32,4,17,9,2,0
image.arey__springboot-petclinic_latest.syft,fail,,,,,,,
image.arey__springboot-petclinic_latest.trivy,ok,1141.0,228,35,112,75,6,0
image.banagevikas__nodejs-sample-app_latest.cdxgen,ok,54647.0,13649,342,3445,7260,197,2405
image.banagevikas__nodejs-sample-app_latest.syft,ok,6203.0,1382,127,440,537,67,211
image.banagevikas__nodejs-sample-app_latest.trivy,ok,6932.0,1558,132,492,637,61,236
image.bencuk__java-demoapp_latest.cdxgen,ok,388.0,93,5,41,43,4,0
image.bencuk__java-demoapp_latest.syft,ok,1043.0,222,29,105,70,18,0
image.bencuk__java-demoapp_latest.trivy,ok,910.0,181,27,96,51,7,0
image.bencuk__python-demoapp_latest.cdxgen,ok,47832.0,12120,208,2930,6536,184,2262
image.bencuk__python-demoapp_latest.syft,ok,3316.0,779,43,238,279,59,160
image.bencuk__python-demoapp_latest.trivy,ok,5351.0,1260,81,361,575,51,192
image.bitnami__kafka_latest.syft,fail,,,,,,,
image.bitnami__keycloak_24.0.5.syft,fail,,,,,,,
image.containous__whoami_latest.cdxgen,ok,0.0,0,0,0,0,0,0
image.containous__whoami_latest.syft,ok,574.0,117,9,51,26,1,30
image.containous__whoami_latest.trivy,ok,480.0,96,0,0,0,0,96
image.debian_12-slim.cdxgen,ok,313.0,76,3,25,33,4,11
image.debian_12-slim.syft,ok,24.0,8,0,1,6,1,0
image.debian_12-slim.trivy,ok,27.0,9,0,1,7,1,0
image.dependencytrack__apiserver_latest.cdxgen,ok,93.0,22,1,4,7,2,8
image.dependencytrack__apiserver_latest.syft,ok,8.0,2,0,1,1,0,0
image.dependencytrack__apiserver_latest.trivy,ok,48.0,11,1,4,6,0,0
image.dependencytrack__frontend_latest.cdxgen,ok,82.0,17,3,7,3,3,1
image.dependencytrack__frontend_latest.syft,ok,90.0,19,3,8,4,3,1
image.dependencytrack__frontend_latest.trivy,ok,77.0,16,3,6,3,3,1
image.eclipse-mosquitto_2.0.cdxgen,ok,10.0,4,0,1,1,2,0
image.eclipse-mosquitto_2.0.syft,ok,7.0,3,0,1,0,2,0
image.eclipse-mosquitto_2.0.trivy,ok,10.0,4,0,1,1,2,0
image.ghcr.io__guacsec__guac_v1.0.1.cdxgen,ok,1933.0,403,46,208,140,8,1
image.ghcr.io__guacsec__guac_v1.0.1.syft,ok,689.0,138,17,68,37,3,13
image.ghcr.io__guacsec__guac_v1.0.1.trivy,ok,1982.0,412,46,207,138,8,13
image.ghost_5-alpine.cdxgen,ok,2995.0,713,74,234,340,65,0
image.ghost_5-alpine.syft,ok,418.0,100,6,39,30,13,12
image.ghost_5-alpine.trivy,ok,3055.0,725,74,234,340,65,12
image.gitea__gitea_1.22.0.cdxgen,ok,2540.0,619,65,165,318,61,10
image.gitea__gitea_1.22.0.syft,ok,906.0,195,29,41,85,11,29
image.gitea__gitea_1.22.0.trivy,ok,2484.0,608,58,155,303,60,32
image.golang_1.22-alpine.cdxgen,ok,325.0,79,4,26,45,0,4
image.golang_1.22-alpine.syft,ok,111.0,21,2,1,2,0,16
image.golang_1.22-alpine.trivy,ok,93.0,19,0,1,1,0,17
image.httpd_2.4-alpine.cdxgen,ok,8.0,2,0,1,1,0,0
image.httpd_2.4-alpine.syft,ok,5.0,1,0,1,0,0,0
image.httpd_2.4-alpine.trivy,ok,8.0,2,0,1,1,0,0
image.jenkins__jenkins_lts-jdk17.cdxgen,ok,207.0,52,1,16,17,6,12
image.jenkins__jenkins_lts-jdk17.syft,ok,173.0,34,5,14,9,1,5
image.jenkins__jenkins_lts-jdk17.trivy,ok,115.0,28,1,8,15,0,4
image.juli1__flask-chat_latest.cdxgen,ok,2943.0,599,64,184,158,14,179
image.juli1__flask-chat_latest.syft,ok,955.0,221,6,54,78,6,77
image.juli1__flask-chat_latest.trivy,ok,1096.0,237,15,67,74,4,77
image.jupyter__scipy-notebook_latest.cdxgen,ok,755.0,156,17,87,49,3,0
image.jupyter__scipy-notebook_latest.syft,ok,,,,,,,
image.jupyter__scipy-notebook_latest.trivy,ok,2134.0,461,39,189,139,22,72
image.kafkajs__confluent-kafka-example_latest.syft,fail,,,,,,,
image.kimb88__hello-world-spring-boot_latest.cdxgen,ok,154.0,32,4,17,9,2,0
image.kimb88__hello-world-spring-boot_latest.syft,fail,,,,,,,
image.kimb88__hello-world-spring-boot_latest.trivy,ok,1245.0,247,42,112,86,7,0
image.loki__loki_3.0.0.syft,fail,,,,,,,
image.mariadb_11.4.cdxgen,ok,382.0,93,3,14,39,5,32
image.mariadb_11.4.syft,ok,173.0,36,1,6,6,0,23
image.mariadb_11.4.trivy,ok,151.0,33,0,4,7,0,22
