Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
src.java.dropwizard.cdxgen,ok,,,,,,,
src.java.dropwizard.syft,ok,,,,,,,
src.java.dropwizard.trivy,fail,,,,,,,
src.java.dubbo.cdxgen,ok,,,,,,,
src.java.dubbo.syft,ok,,,,,,,
src.java.dubbo.trivy,fail,,,,,,,
src.java.guava.cdxgen,ok,,,,,,,
src.java.guava.syft,ok,,,,,,,
src.java.guava.trivy,fail,,,,,,,
src.java.java-design-patterns.cdxgen,ok,,,,,,,
src.java.java-design-patterns.syft,ok,,,,,,,
src.java.java-design-patterns.trivy,fail,,,,,,,
src.java.jsoup.cdxgen,ok,,,,,,,
src.java.jsoup.syft,ok,,,,,,,
src.java.jsoup.trivy,ok,,,,,,,
src.java.mapstruct-examples.cdxgen,ok,,,,,,,
src.java.mapstruct-examples.syft,ok,,,,,,,
src.java.mapstruct-examples.trivy,ok,,,,,,,
src.java.mapstruct.cdxgen,ok,,,,,,,
src.java.mapstruct.syft,ok,,,,,,,
src.java.mapstruct.trivy,ok,,,,,,,
src.java.netty.cdxgen,ok,,,,,,,
src.java.netty.syft,ok,,,,,,,
src.java.netty.trivy,fail,,,,,,,
src.java.spring-boot-3-rest-api-example.cdxgen,ok,,,,,,,
src.java.spring-boot-3-rest-api-example.syft,ok,,,,,,,
src.java.spring-boot-3-rest-api-example.trivy,ok,,,,,,,
src.java.spring-data-examples.cdxgen,ok,,,,,,,
src.java.spring-data-examples.syft,ok,,,,,,,
src.java.spring-data-examples.trivy,fail,,,,,,,
src.java.spring-data-jpa-course.cdxgen,ok,,,,,,,
src.java.spring-data-jpa-course.syft,ok,,,,,,,
src.java.spring-data-jpa-course.trivy,ok,,,,,,,
src.java.spring-jpa-hibernate-mysql-example.cdxgen,ok,,,,,,,
src.java.spring-jpa-hibernate-mysql-example.syft,ok,,,,,,,
src.java.spring-jpa-hibernate-mysql-example.trivy,ok,,,,,,,
src.java.spring-petclinic-angularjs.cdxgen,ok,,,,,,,
src.java.spring-petclinic-angularjs.syft,ok,,,,,,,
src.java.spring-petclinic-angularjs.trivy,ok,,,,,,,
src.java.spring-petclinic-microservices.cdxgen,ok,,,,,,,
src.java.spring-petclinic-microservices.syft,ok,,,,,,,
src.java.spring-petclinic-microservices.trivy,fail,,,,,,,
src.java.spring-petclinic-reactive.cdxgen,ok,,,,,,,
src.java.spring-petclinic-reactive.syft,ok,,,,,,,
src.java.spring-petclinic-reactive.trivy,ok,,,,,,,
src.java.spring-petclinic-rest.cdxgen,ok,,,,,,,
src.java.spring-petclinic-rest.syft,ok,,,,,,,
src.java.spring-petclinic-rest.trivy,ok,,,,,,,
