repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
spring-boot-file-upload-download-rest-api-example,syft,2.075,7.3000,C,7
spring-boot-file-upload-download-rest-api-example,trivy,0.660,8.5000,B,48
spring-boot-file-upload-download-rest-api-example,cdxgen,15.988,8.6000,B,63
spring-boot-with-webxml,syft,1.691,7.7000,C,10
spring-boot-with-webxml,trivy,0.539,8.4000,B,40
spring-boot-with-webxml,cdxgen,14.480,8.6000,B,61
Spring-Boot-Application-Template,syft,2.007,8.3000,B,55
Spring-Boot-Application-Template,trivy,8.308,8.5000,B,247
Spring-Boot-Application-Template,cdxgen,49.390,8.6000,B,201
example_springboot_RESTAPI,syft,1.820,7.6000,C,6
example_springboot_RESTAPI,trivy,0.325,8.4000,B,33
example_springboot_RESTAPI,cdxgen,7.488,8.6000,B,47
spring-boot-spring-loaded-java8-example,syft,1.913,7.8000,C,7
spring-boot-spring-loaded-java8-example,trivy,0.263,8.4000,B,46
spring-boot-spring-loaded-java8-example,cdxgen,11.122,8.6000,B,44
spring-boot-jpa-postgresql,syft,2.487,7.6000,C,9
spring-boot-jpa-postgresql,trivy,0.469,8.5000,B,67
spring-boot-jpa-postgresql,cdxgen,23.040,8.6000,B,90
cloud-spring-boot-sample,syft,2.082,8.2000,B,14
cloud-spring-boot-sample,trivy,0.406,8.4000,B,46
cloud-spring-boot-sample,cdxgen,9.129,8.6000,B,49
SpringBoot-RestAPI,syft,1.907,7.9000,C,13
SpringBoot-RestAPI,trivy,0.524,8.5000,B,73
SpringBoot-RestAPI,cdxgen,15.159,8.6000,B,100
spring-boot-3-hello-world,syft,1.974,7.4000,C,5
spring-boot-3-hello-world,trivy,0.461,8.4000,B,37
spring-boot-3-hello-world,cdxgen,9.710,8.6000,B,64
Spring-Boot-Blog-REST-API,syft,1.884,8.2000,B,28
Spring-Boot-Blog-REST-API,trivy,2.673,8.5000,B,95
Spring-Boot-Blog-REST-API,cdxgen,10.464,8.6000,B,98
spring-boot-assembly,syft,2.291,8.1000,B,11
spring-boot-assembly,trivy,0.596,8.5000,B,51
spring-boot-assembly,cdxgen,9.361,8.6000,B,70
wildfly-spring-boot-sample,syft,1.965,7.8000,C,7
wildfly-spring-boot-sample,trivy,0.355,8.4000,B,40
wildfly-spring-boot-sample,cdxgen,8.610,8.6000,B,38
testing-spring-boot-rest-api,syft,1.832,8.2000,B,16
testing-spring-boot-rest-api,trivy,1.690,8.5000,B,106
testing-spring-boot-rest-api,cdxgen,8.352,8.6000,B,117
ms-springboot-310-java-17-jakarta-ee-10,syft,2.193,8.5000,B,49
ms-springboot-310-java-17-jakarta-ee-10,trivy,14.236,8.5000,B,181
ms-springboot-310-java-17-jakarta-ee-10,cdxgen,38.517,8.6000,B,239
spring-boot-jsp-example,syft,1.952,7.6000,C,6
spring-boot-jsp-example,trivy,0.597,8.4000,B,44
spring-boot-jsp-example,cdxgen,11.681,8.6000,B,42
spring-boot-rest-api-postgresql,syft,2.096,8.1000,B,11
spring-boot-rest-api-postgresql,trivy,0.304,8.5000,B,82
spring-boot-rest-api-postgresql,cdxgen,8.132,8.6000,B,102
java.samples.spring.boot,syft,1.988,8.3000,B,29
java.samples.spring.boot,trivy,0.916,8.5000,B,110
java.samples.spring.boot,cdxgen,14.808,8.6000,B,158
Simple-Spring-Boot-application,syft,2.167,7.1000,C,4
Simple-Spring-Boot-application,trivy,0.288,8.4000,B,36
Simple-Spring-Boot-application,cdxgen,10.057,8.6000,B,34
JPA-Specifications-Example,syft,2.179,8.1000,B,11
JPA-Specifications-Example,trivy,1.125,7.6000,C,13
JPA-Specifications-Example,cdxgen,5.588,4.3000,F,0
spring-boot-demo,syft,2.170,7.9000,C,9
spring-boot-demo,trivy,2.477,8.4000,B,42
spring-boot-demo,cdxgen,18.555,8.6000,B,70
spring-boot-rest-api-template,syft,2.041,7.9000,C,12
spring-boot-rest-api-template,trivy,0.630,8.5000,B,68
spring-boot-rest-api-template,cdxgen,15.559,8.6000,B,85
spring-ai-demo,syft,1.892,8.2000,B,23
spring-ai-demo,trivy,0.578,8.5000,B,132
spring-ai-demo,cdxgen,16.775,8.6000,B,170
spring-boot-essentials,syft,1.789,7.5000,C,8
spring-boot-essentials,trivy,0.410,8.4000,B,39
spring-boot-essentials,cdxgen,18.114,8.6000,B,60
spring-boot-microservices-best-practices,syft,2.063,8.3000,B,19
spring-boot-microservices-best-practices,trivy,25.624,8.5000,B,100
spring-boot-microservices-best-practices,cdxgen,125.453,8.6000,B,122
Spring-Boot-On-Weblogic,syft,2.247,7.6000,C,6
Spring-Boot-On-Weblogic,trivy,5.158,8.4000,B,40
Spring-Boot-On-Weblogic,cdxgen,25.067,8.6000,B,66
Spring-Boot-Demo,syft,2.200,8.0000,B,15
Spring-Boot-Demo,trivy,5.859,8.5000,B,64
Spring-Boot-Demo,cdxgen,29.904,8.6000,B,84
spring-boot-rest-api-mysql,syft,2.199,7.7000,C,10
spring-boot-rest-api-mysql,trivy,12.066,8.5000,B,78
spring-boot-rest-api-mysql,cdxgen,21.957,8.6000,B,88
spring-boot-configmaps-demo,syft,2.411,7.6000,C,9
spring-boot-configmaps-demo,trivy,0.693,8.4000,B,35
spring-boot-configmaps-demo,cdxgen,20.396,8.6000,B,51
friendmgmt,syft,1.995,7.7000,C,10
friendmgmt,trivy,1.256,8.5000,B,60
friendmgmt,cdxgen,15.630,8.6000,B,74
adrs-archunit-sample,syft,2.360,8.0000,B,15
adrs-archunit-sample,trivy,1.633,8.5000,B,68
adrs-archunit-sample,cdxgen,17.050,8.6000,B,96
