repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
spring-petclinic,syft,1.76,8.1,B,38
spring-petclinic,trivy,0.43,8.5,B,110
spring-petclinic,cdxgen,23.72,8.6,B,171
spring-petclinic-rest,syft,1.74,8.1,B,45
spring-petclinic-rest,trivy,0.57,8.5,B,105
spring-petclinic-rest,cdxgen,10.16,8.6,B,137
spring-petclinic-microservices,syft,1.59,8.1,B,66
spring-petclinic-microservices,trivy,4.7,8.6,B,2565
spring-petclinic-microservices,cdxgen,35.56,8.6,B,327
spring-petclinic-reactive,syft,1.78,8.3,B,27
spring-petclinic-reactive,trivy,1.44,8.5,B,157
spring-petclinic-reactive,cdxgen,10.93,8.6,B,177
spring-petclinic-angularjs,syft,2.18,7.9,C,21
spring-petclinic-angularjs,trivy,1.08,8.5,B,165
spring-petclinic-angularjs,cdxgen,52.51,8.6,B,453
jsoup,syft,1.97,8,C,23
jsoup,trivy,0.14,6.7,D,3
jsoup,cdxgen,7.17,8.6,B,31
guava,syft,2.01,7.7,C,56
guava,trivy,1.95,8.2,B,103
guava,cdxgen,69,8.6,B,80
netty,syft,2.57,8,C,352
netty,trivy,25.95,8.3,B,1176
netty,cdxgen,141.06,8.6,B,19
dubbo,syft,2.84,7.9,C,504
dubbo,trivy,17.09,8.4,B,9180
dubbo,cdxgen,381.65,8.6,B,745
swagger-core,syft,2,8,C,148
swagger-core,trivy,20.17,8.4,B,385
swagger-core,cdxgen,59.82,8.6,B,112
dropwizard,syft,2.44,8,C,258
dropwizard,trivy,51.67,8.5,B,2933
dropwizard,cdxgen,57.44,8.5,B,15
spring-data-examples,syft,2.34,7.6,C,317
spring-data-examples,trivy,31.81,8.6,B,15198
spring-data-examples,cdxgen,549.36,8.6,B,476
mapstruct,syft,2.22,7.6,C,177
mapstruct,trivy,1.48,7.8,C,205
mapstruct,cdxgen,133.85,8.6,B,30
spring-data-jpa-course,syft,1.82,7.6,C,9
spring-data-jpa-course,trivy,6.22,8.5,B,65
spring-data-jpa-course,cdxgen,31.42,8.6,B,88
spring-jpa-hibernate-mysql-example,syft,1.94,7.6,C,9
spring-jpa-hibernate-mysql-example,trivy,6.9,8.5,B,56
spring-jpa-hibernate-mysql-example,cdxgen,31.65,8.6,B,71
spring-data-examples,syft,2.29,7.6,C,315
spring-data-examples,trivy,31.59,8.6,B,15198
spring-data-examples,cdxgen,514.53,8.6,B,476
mapstruct-examples,syft,1.78,7.4,C,91
mapstruct-examples,trivy,19.5,8.2,B,243
mapstruct-examples,cdxgen,243.57,8.6,B,223
testcontainers-spring-boot,syft,1.8,8.3,B,30
testcontainers-spring-boot,trivy,34.25,8.5,B,135
testcontainers-spring-boot,cdxgen,85.03,8.6,B,220
java-design-patterns,syft,2.48,7.3,C,444
java-design-patterns,trivy,62.44,8.4,B,3699
java-design-patterns,cdxgen,814.44,8.6,B,444
spring-boot-3-rest-api-example,syft,1.74,7.3,C,7
spring-boot-3-rest-api-example,trivy,5.49,8.4,B,37
spring-boot-3-rest-api-example,cdxgen,33.57,8.6,B,63
spring-boot-file-upload-download-rest-api-example,syft,2.075,7.3,C,7
spring-boot-file-upload-download-rest-api-example,trivy,0.66,8.5,B,48
spring-boot-file-upload-download-rest-api-example,cdxgen,15.988,8.6,B,63
spring-boot-with-webxml,syft,1.691,7.7,C,10
spring-boot-with-webxml,trivy,0.539,8.4,B,40
spring-boot-with-webxml,cdxgen,14.48,8.6,B,61
Spring-Boot-Application-Template,syft,2.007,8.3,B,55
Spring-Boot-Application-Template,trivy,8.308,8.5,B,247
Spring-Boot-Application-Template,cdxgen,49.39,8.6,B,201
example_springboot_RESTAPI,syft,1.82,7.6,C,6
example_springboot_RESTAPI,trivy,0.325,8.4,B,33
example_springboot_RESTAPI,cdxgen,7.488,8.6,B,47
spring-boot-spring-loaded-java8-example,syft,1.913,7.8,C,7
spring-boot-spring-loaded-java8-example,trivy,0.263,8.4,B,46
spring-boot-spring-loaded-java8-example,cdxgen,11.122,8.6,B,44
spring-boot-jpa-postgresql,syft,2.487,7.6,C,9
spring-boot-jpa-postgresql,trivy,0.469,8.5,B,67
spring-boot-jpa-postgresql,cdxgen,23.04,8.6,B,90
cloud-spring-boot-sample,syft,2.082,8.2,B,14
cloud-spring-boot-sample,trivy,0.406,8.4,B,46
cloud-spring-boot-sample,cdxgen,9.129,8.6,B,49
SpringBoot-RestAPI,syft,1.907,7.9,C,13
SpringBoot-RestAPI,trivy,0.524,8.5,B,73
SpringBoot-RestAPI,cdxgen,15.159,8.6,B,100
spring-boot-3-hello-world,syft,1.974,7.4,C,5
spring-boot-3-hello-world,trivy,0.461,8.4,B,37
spring-boot-3-hello-world,cdxgen,9.71,8.6,B,64
Spring-Boot-Blog-REST-API,syft,1.884,8.2,B,28
Spring-Boot-Blog-REST-API,trivy,2.673,8.5,B,95
Spring-Boot-Blog-REST-API,cdxgen,10.464,8.6,B,98
spring-boot-assembly,syft,2.291,8.1,B,11
spring-boot-assembly,trivy,0.596,8.5,B,51
spring-boot-assembly,cdxgen,9.361,8.6,B,70
wildfly-spring-boot-sample,syft,1.965,7.8,C,7
wildfly-spring-boot-sample,trivy,0.355,8.4,B,40
wildfly-spring-boot-sample,cdxgen,8.61,8.6,B,38
testing-spring-boot-rest-api,syft,1.832,8.2,B,16
testing-spring-boot-rest-api,trivy,1.69,8.5,B,106
testing-spring-boot-rest-api,cdxgen,8.352,8.6,B,117
ms-springboot-310-java-17-jakarta-ee-10,syft,2.193,8.5,B,49
ms-springboot-310-java-17-jakarta-ee-10,trivy,14.236,8.5,B,181
ms-springboot-310-java-17-jakarta-ee-10,cdxgen,38.517,8.6,B,239
spring-boot-jsp-example,syft,1.952,7.6,C,6
spring-boot-jsp-example,trivy,0.597,8.4,B,44
spring-boot-jsp-example,cdxgen,11.681,8.6,B,42
spring-boot-rest-api-postgresql,syft,2.096,8.1,B,11
spring-boot-rest-api-postgresql,trivy,0.304,8.5,B,82
spring-boot-rest-api-postgresql,cdxgen,8.132,8.6,B,102
java.samples.spring.boot,syft,1.988,8.3,B,29
java.samples.spring.boot,trivy,0.916,8.5,B,110
java.samples.spring.boot,cdxgen,14.808,8.6,B,158
Simple-Spring-Boot-application,syft,2.167,7.1,C,4
Simple-Spring-Boot-application,trivy,0.288,8.4,B,36
Simple-Spring-Boot-application,cdxgen,10.057,8.6,B,34
JPA-Specifications-Example,syft,2.179,8.1,B,11
JPA-Specifications-Example,trivy,1.125,7.6,C,13
JPA-Specifications-Example,cdxgen,5.588,4.3,F,0
spring-boot-demo,syft,2.17,7.9,C,9
spring-boot-demo,trivy,2.477,8.4,B,42
spring-boot-demo,cdxgen,18.555,8.6,B,70
spring-boot-rest-api-template,syft,2.041,7.9,C,12
spring-boot-rest-api-template,trivy,0.63,8.5,B,68
spring-boot-rest-api-template,cdxgen,15.559,8.6,B,85
spring-ai-demo,syft,1.892,8.2,B,23
spring-ai-demo,trivy,0.578,8.5,B,132
spring-ai-demo,cdxgen,16.775,8.6,B,170
spring-boot-essentials,syft,1.789,7.5,C,8
spring-boot-essentials,trivy,0.41,8.4,B,39
spring-boot-essentials,cdxgen,18.114,8.6,B,60
spring-boot-microservices-best-practices,syft,2.063,8.3,B,19
spring-boot-microservices-best-practices,trivy,25.624,8.5,B,100
spring-boot-microservices-best-practices,cdxgen,125.453,8.6,B,122
Spring-Boot-On-Weblogic,syft,2.247,7.6,C,6
Spring-Boot-On-Weblogic,trivy,5.158,8.4,B,40
Spring-Boot-On-Weblogic,cdxgen,25.067,8.6,B,66
Spring-Boot-Demo,syft,2.2,8,B,15
Spring-Boot-Demo,trivy,5.859,8.5,B,64
Spring-Boot-Demo,cdxgen,29.904,8.6,B,84
spring-boot-rest-api-mysql,syft,2.199,7.7,C,10
spring-boot-rest-api-mysql,trivy,12.066,8.5,B,78
spring-boot-rest-api-mysql,cdxgen,21.957,8.6,B,88
spring-boot-configmaps-demo,syft,2.411,7.6,C,9
spring-boot-configmaps-demo,trivy,0.693,8.4,B,35
spring-boot-configmaps-demo,cdxgen,20.396,8.6,B,51
friendmgmt,syft,1.995,7.7,C,10
friendmgmt,trivy,1.256,8.5,B,60
friendmgmt,cdxgen,15.63,8.6,B,74
adrs-archunit-sample,syft,2.36,8,B,15
adrs-archunit-sample,trivy,1.633,8.5,B,68
adrs-archunit-sample,cdxgen,17.05,8.6,B,96
