repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
express,syft,1.53,7.9,C,22
express,trivy,0.11,5.7,D,1
express,cdxgen,21.96,8.6,B,376
nest,syft,1.81,8.5,B,134
nest,trivy,0.31,8.5,B,125
nest,cdxgen,10.78,8.6,B,2169
koa,syft,1.44,8.3,B,46
koa,trivy,0.08,8.4,B,38
koa,cdxgen,1.6,8.6,B,374
strapi,syft,3.01,8.6,B,4766
strapi,trivy,1.05,8.6,B,4654
strapi,cdxgen,28.8,8.6,B,4105
nuxt,syft,2.09,8.5,B,1754
nuxt,trivy,0.27,8.6,B,996
nuxt,cdxgen,6.75,8.6,B,1716
remix,syft,2.02,8.5,B,691
remix,trivy,0.23,8.6,B,305
remix,cdxgen,3.84,8.5,B,719
prisma,syft,3.81,8.5,B,7303
prisma,trivy,0.82,8.5,B,3301
prisma,cdxgen,17.02,8.6,B,2498
sequelize,syft,2.18,8.6,B,1660
sequelize,trivy,0.23,8.6,B,792
sequelize,cdxgen,6.27,8.6,B,1651
typeorm,syft,2.1,8.5,B,1315
typeorm,trivy,0.61,8.6,B,1282
typeorm,cdxgen,13.33,8.6,B,2039
bulletproof-nodejs,syft,1.56,8.5,B,236
bulletproof-nodejs,trivy,0.1,8.6,B,268
bulletproof-nodejs,cdxgen,2.75,8.6,B,863
nodejs-real-world-example-app,syft,1.4,5.7,D,1
nodejs-real-world-example-app,trivy,0.07,5.7,D,1
nodejs-real-world-example-app,cdxgen,11.6,8.6,B,219
bulletproof-nodejs-template,syft,1.46,8.5,B,72
bulletproof-nodejs-template,trivy,0.1,8.5,B,71
bulletproof-nodejs-template,cdxgen,2.41,8.6,B,706
realworld-nodejs-example-app,syft,2.2,8.6,B,2523
realworld-nodejs-example-app,trivy,0.22,8.6,B,2126
realworld-nodejs-example-app,cdxgen,4.49,8.6,B,1275
nodejs-ecommerce-api,syft,1.36,8.5,B,112
nodejs-ecommerce-api,trivy,0.08,8.5,B,122
nodejs-ecommerce-api,cdxgen,1.44,8.6,B,234
real-world-tourism-api,syft,1.66,8.6,B,315
real-world-tourism-api,trivy,0.1,8.6,B,395
real-world-tourism-api,cdxgen,2.76,8.6,B,419
node-express-boilerplate,syft,3.319,8.6,B,983
node-express-boilerplate,trivy,0.252,8.6,B,351
node-express-boilerplate,cdxgen,5.371,8.6,B,982
nodejs-express-mongodb-rest-api-boilerplate,syft,2.414,8.6,B,431
nodejs-express-mongodb-rest-api-boilerplate,trivy,0.253,8.5,B,65
nodejs-express-mongodb-rest-api-boilerplate,cdxgen,3.634,8.6,B,430
nodejs-express-boilerplate-bitDaft,syft,2.493,8.6,B,587
nodejs-express-boilerplate-bitDaft,trivy,0.143,8.6,B,545
nodejs-express-boilerplate-bitDaft,cdxgen,2.926,8.6,B,382
node-express-backend-template,syft,2.246,8.5,B,222
node-express-backend-template,trivy,0.127,8.5,B,221
node-express-backend-template,cdxgen,2.577,8.6,B,298
express-sequelize-boilerplate,syft,2.234,8.6,B,383
express-sequelize-boilerplate,trivy,0.154,8.5,B,256
express-sequelize-boilerplate,cdxgen,3.393,8.6,B,385
node-express-typeorm-boilerplate,syft,2.073,5.7,D,1
node-express-typeorm-boilerplate,trivy,0.146,5.7,D,1
node-express-typeorm-boilerplate,cdxgen,45.082,8.6,B,503
node-express-sequelize-boilerplate,syft,2.276,8.6,B,491
node-express-sequelize-boilerplate,trivy,0.159,8.6,B,560
node-express-sequelize-boilerplate,cdxgen,3.722,8.6,B,559
node-express-sequelize-mysql-api,syft,1.859,8.6,B,377
node-express-sequelize-mysql-api,trivy,0.191,8.6,B,376
node-express-sequelize-mysql-api,cdxgen,2.573,8.6,B,418
nestjs-realworld-example-lujakob,syft,2.415,8.6,B,1019
nestjs-realworld-example-lujakob,trivy,0.361,8.6,B,895
nestjs-realworld-example-lujakob,cdxgen,6.562,8.6,B,992
nestjs-realworld-example-mikroorm,syft,2.256,8.6,B,823
nestjs-realworld-example-mikroorm,trivy,0.16,8.5,B,259
nestjs-realworld-example-mikroorm,cdxgen,3.1,8.6,B,823
nestjs-realworld-example-adr1en,syft,3.207,8.6,B,772
nestjs-realworld-example-adr1en,trivy,0.252,8.5,B,198
nestjs-realworld-example-adr1en,cdxgen,5.051,8.6,B,771
nestjs-realworld-example-mutoe,syft,2.666,8.6,B,958
nestjs-realworld-example-mutoe,trivy,0.155,8.5,B,221
nestjs-realworld-example-mutoe,cdxgen,5.418,8.6,B,956
