repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
ArchiveBox,syft,4.029,8.5000,B,258
ArchiveBox,trivy,1.206,8.5000,B,160
ArchiveBox,cdxgen,,,,
bookwyrm,syft,2.296,8.3000,B,73
bookwyrm,trivy,0.379,8.5000,B,58
bookwyrm,cdxgen,46.779,8.6000,B,305
CTFd,syft,2.399,8.5000,B,486
CTFd,trivy,0.402,8.5000,B,231
CTFd,cdxgen,25.000,8.6000,B,411
deluge,syft,2.130,7.8000,C,18
deluge,trivy,0.396,5.7000,D,1
deluge,cdxgen,12.452,8.6000,B,34
newsblur,syft,,,,
newsblur,trivy,,,,
newsblur,cdxgen,,,,
flaskbb,syft,2.486,8.5000,B,99
flaskbb,trivy,0.303,8.5000,B,93
flaskbb,cdxgen,17.668,8.6000,B,491
httpie,syft,1.881,7.7000,C,48
httpie,trivy,0.165,5.7000,D,1
httpie,cdxgen,2.230,8.6000,B,15
speedtest-cli,syft,1.726,5.7000,D,1
speedtest-cli,trivy,0.139,5.7000,D,1
speedtest-cli,cdxgen,1.619,4.3000,F,0
streamlink,syft,1.857,7.8000,C,21
streamlink,trivy,0.167,5.7000,D,1
streamlink,cdxgen,2.248,8.6000,B,7
beets,syft,2.158,8.5000,B,179
beets,trivy,0.254,8.5000,B,111
beets,cdxgen,3.089,8.6000,B,158
searxng,syft,21.418,8.3000,B,131
searxng,trivy,1.160,8.4000,B,61
searxng,cdxgen,32.839,8.6000,B,390
sabnzbd,syft,2.081,8.2000,B,107
sabnzbd,trivy,0.916,8.4000,B,73
sabnzbd,cdxgen,19.229,8.6000,B,102
Tautulli,syft,2.304,8.2000,B,106
Tautulli,trivy,0.700,8.5000,B,51
Tautulli,cdxgen,17.707,8.6000,B,85
pyload,syft,2.381,7.6000,C,15
pyload,trivy,0.235,5.7000,D,1
pyload,cdxgen,4.108,8.6000,B,10
gpodder,syft,2.377,7.3000,C,7
gpodder,trivy,0.210,5.7000,D,1
gpodder,cdxgen,2.721,8.6000,B,3
mealie,syft,2.947,8.5000,B,1769
mealie,trivy,0.686,8.6000,B,1291
mealie,cdxgen,11.454,8.6000,B,1718
pi-hole,syft,2.393,7.8000,C,29
pi-hole,trivy,0.182,7.9000,C,8
pi-hole,cdxgen,3.231,8.6000,B,18
qutebrowser,syft,2.795,8.3000,B,404
qutebrowser,trivy,0.328,7.9000,C,8
qutebrowser,cdxgen,3.366,8.5000,B,241
you-get,syft,2.163,7.1000,C,4
you-get,trivy,0.132,5.7000,D,1
you-get,cdxgen,2.092,8.6000,B,4
syncserver,syft,2.239,8.2000,B,22
syncserver,trivy,0.139,8.3000,B,19
syncserver,cdxgen,7.804,8.5000,B,20
