repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
pipenv,syft,1.903,7.5,C,32
pipenv,trivy,0.227,7.6,C,9
pipenv,cdxgen,1.831,8.6,B,109
locust,syft,2.007,8.6,B,1116
locust,trivy,0.25,8.6,B,637
locust,cdxgen,3.901,8.6,B,1114
black,syft,1.702,7.9,C,53
black,trivy,0.136,7.9,C,8
black,cdxgen,2.702,8.6,B,22
pytest,syft,1.878,8.1,B,44
pytest,trivy,0.164,8.2,B,17
pytest,cdxgen,5.731,8.6,B,37
cookiecutter,syft,1.546,8.4,B,96
cookiecutter,trivy,0.136,8.4,B,30
cookiecutter,cdxgen,1.749,8.6,B,92
yt-dlp,syft,1.492,7.8,C,51
yt-dlp,trivy,0.186,5.7,D,1
yt-dlp,cdxgen,2.015,8.6,B,14
mitmproxy,syft,1.769,8.5,B,233
mitmproxy,trivy,0.351,8.5,B,132
mitmproxy,cdxgen,7.071,8.6,B,945
fastapi,syft,1.926,8,C,112
fastapi,trivy,0.37,5.7,D,1
fastapi,cdxgen,7.724,8.6,B,57
django-rest-framework,syft,1.541,7.6,C,21
django-rest-framework,trivy,0.196,5.7,D,1
django-rest-framework,cdxgen,2.889,8.4,B,28
sqlmodel,syft,1.76,8,C,68
sqlmodel,trivy,0.196,5.7,D,1
sqlmodel,cdxgen,5.187,8.6,B,47
bookwyrm,syft,2.296,8.3,B,73
bookwyrm,trivy,0.379,8.5,B,58
bookwyrm,cdxgen,46.779,8.6,B,305
CTFd,syft,2.399,8.5,B,486
CTFd,trivy,0.402,8.5,B,231
CTFd,cdxgen,25,8.6,B,411
deluge,syft,2.13,7.8,C,18
deluge,trivy,0.396,5.7,D,1
deluge,cdxgen,12.452,8.6,B,34
flaskbb,syft,2.486,8.5,B,99
flaskbb,trivy,0.303,8.5,B,93
flaskbb,cdxgen,17.668,8.6,B,491
httpie,syft,1.881,7.7,C,48
httpie,trivy,0.165,5.7,D,1
httpie,cdxgen,2.23,8.6,B,15
streamlink,syft,1.857,7.8,C,21
streamlink,trivy,0.167,5.7,D,1
streamlink,cdxgen,2.248,8.6,B,7
beets,syft,2.158,8.5,B,179
beets,trivy,0.254,8.5,B,111
beets,cdxgen,3.089,8.6,B,158
searxng,syft,21.418,8.3,B,131
searxng,trivy,1.16,8.4,B,61
searxng,cdxgen,32.839,8.6,B,390
sabnzbd,syft,2.081,8.2,B,107
sabnzbd,trivy,0.916,8.4,B,73
sabnzbd,cdxgen,19.229,8.6,B,102
Tautulli,syft,2.304,8.2,B,106
Tautulli,trivy,0.7,8.5,B,51
Tautulli,cdxgen,17.707,8.6,B,85
pyload,syft,2.381,7.6,C,15
pyload,trivy,0.235,5.7,D,1
pyload,cdxgen,4.108,8.6,B,10
gpodder,syft,2.377,7.3,C,7
gpodder,trivy,0.21,5.7,D,1
gpodder,cdxgen,2.721,8.6,B,3
mealie,syft,2.947,8.5,B,1769
mealie,trivy,0.686,8.6,B,1291
mealie,cdxgen,11.454,8.6,B,1718
pi-hole,syft,2.393,7.8,C,29
pi-hole,trivy,0.182,7.9,C,8
pi-hole,cdxgen,3.231,8.6,B,18
qutebrowser,syft,2.795,8.3,B,404
qutebrowser,trivy,0.328,7.9,C,8
qutebrowser,cdxgen,3.366,8.5,B,241
you-get,syft,2.163,7.1,C,4
you-get,trivy,0.132,5.7,D,1
you-get,cdxgen,2.092,8.6,B,4
syncserver,syft,2.239,8.2,B,22
syncserver,trivy,0.139,8.3,B,19
syncserver,cdxgen,7.804,8.5,B,20
ckan,syft,2.243,8.3,B,172
ckan,trivy,0.607,8.5,B,87
ckan,cdxgen,22.799,8.6,B,490
healthchecks,syft,2.674,8.1,B,34
healthchecks,trivy,0.413,8.2,B,17
healthchecks,cdxgen,7.822,8.6,B,29
django-DefectDojo,syft,2.722,8.4,B,609
django-DefectDojo,trivy,1.421,8.5,B,469
django-DefectDojo,cdxgen,19.596,8.6,B,548
todo-app-flask-reactjs,syft,2.269,8.5,B,236
todo-app-flask-reactjs,trivy,0.192,8.5,B,235
todo-app-flask-reactjs,cdxgen,6.028,8.6,B,368
todo-app,syft,1.991,7.9,C,8
todo-app,trivy,0.118,7.9,C,8
todo-app,cdxgen,2.727,8.6,B,7
flask-htmx-todolist,syft,1.713,8.1,B,13
flask-htmx-todolist,trivy,0.083,8.1,B,13
flask-htmx-todolist,cdxgen,2.685,8.6,B,12
sample-python-api,syft,1.969,8.3,B,20
sample-python-api,trivy,0.147,8.3,B,20
sample-python-api,cdxgen,1.39,8.6,B,26
fastapi-example,syft,1.896,7.6,C,6
fastapi-example,trivy,0.086,7.6,C,6
fastapi-example,cdxgen,1.913,8.6,B,5
python-samples-fastapi-restful,syft,1.813,8,B,25
python-samples-fastapi-restful,trivy,0.098,7.6,C,6
python-samples-fastapi-restful,cdxgen,2.955,8.6,B,21
fastapi-realworld-example-app,syft,1.809,8.4,B,119
fastapi-realworld-example-app,trivy,0.138,8.4,B,37
fastapi-realworld-example-app,cdxgen,1.816,6.1,D,739
